"","variable","ols_coefficient","lasso_coefficient"
"115","f_minimum_nights3:d_reservedparking",NA,0.365255292774889
"116","f_minimum_nights3:d_sauna",NA,0.000186649713788329
"117","f_minimum_nights3:d_security",NA,0.805227574133259
"118","f_minimum_nights3:d_smarttv",NA,1.0376212689688
"119","f_minimum_nights3:d_soundsystem",NA,-0.210629052659351
"120","f_minimum_nights3:d_specialview",NA,0.00211666657642543
"121","f_minimum_nights3:d_stove",NA,-5.3094700022483
"122","f_minimum_nights3:d_toysforchildren",NA,0.832270475781516
"123","f_minimum_nights3:d_tv",NA,1.56677088759189
"124","f_minimum_nights3:d_washingmachine",NA,5.80548737517411
"125","f_minimum_nights3:d_wifi",NA,0.294869777161443
"126","f_minimum_nights3:d_windowsamenities",NA,0.402758933783217
"127","f_minimum_nights4",-26.8320012914794,NA
"128","f_minimum_nights4:d_ac",NA,-3.17714888537454
"129","f_minimum_nights4:d_babykit",NA,0.0336448490437619
"130","f_minimum_nights4:d_bathtub",NA,-1.08963663894317
"131","f_minimum_nights4:d_bidet",NA,-0.647054759839899
"132","f_minimum_nights4:d_bikes",NA,-0.230238696771685
"133","f_minimum_nights4:d_breakfast",NA,-0.798490602183627
"134","f_minimum_nights4:d_buildingstaff",NA,0.718267416610304
"135","f_minimum_nights4:d_cleaningavailableduringstay",NA,0.87212293113941
"136","f_minimum_nights4:d_cleaningproducts",NA,0.963540201361394
"137","f_minimum_nights4:d_dryer",NA,1.36105846265855
"138","f_minimum_nights4:d_elevator",NA,1.15218835960321
"139","f_minimum_nights4:d_ethernetconnection",NA,-0.231107775645639
"140","f_minimum_nights4:d_evcharger",NA,0.0786771647734683
"141","f_minimum_nights4:d_externallaundry",NA,-0.396515629048212
"142","f_minimum_nights4:d_firepit",NA,1.10705157185806
"143","f_minimum_nights4:d_fridge",NA,-0.644505311483667
"144","f_minimum_nights4:d_games",NA,-0.624992592816123
"145","f_minimum_nights4:d_gym",NA,-2.46649922143237
"146","f_minimum_nights4:d_hottub",NA,0.0140028973829894
"147","f_minimum_nights4:d_iron",NA,-2.84406414681524
"148","f_minimum_nights4:d_keypad",NA,0.160887702988979
"149","f_minimum_nights4:d_luggagedropoffallowed",NA,-0.486741440263677
"150","f_minimum_nights4:d_outdoorfurniture",NA,-0.874077601548981
"151","f_minimum_nights4:d_petsallowed",NA,5.20518862604327
"152","f_minimum_nights4:d_piano",NA,-2.50855439714499
"153","f_minimum_nights4:d_privateentrance",NA,-0.785854948875757
"154","f_minimum_nights4:d_privatelivingroom",NA,-0.532378955439512
"155","f_minimum_nights4:d_sauna",NA,-1.53427426309729
"156","f_minimum_nights4:d_smarttv",NA,2.26905124376197
"157","f_minimum_nights4:d_soundsystem",NA,-0.7204779101185
"158","f_minimum_nights4:d_specialview",NA,0.319003280791525
"159","f_minimum_nights4:d_stove",NA,-0.00375216272603734
"160","f_minimum_nights4:d_toysforchildren",NA,1.30270687567807
"161","f_minimum_nights4:d_tv",NA,1.17732278831923
"162","f_minimum_nights4:d_unreservedparking",NA,-0.252492224263385
"163","f_minimum_nights4:d_wardrobe",NA,-0.329304902587033
"164","f_minimum_nights4:d_washingmachine",NA,-3.51139855067383
"165","f_minimum_nights4:d_wifi",NA,0.00325335529747989
"166","f_minimum_nights4:d_windowsamenities",NA,-1.44251425522552
"167","f_municipioMunicipio2",-59.5279058579763,-16.6475558386781
"168","f_municipioMunicipio2-9",-61.2555932026474,NA
"169","f_municipioMunicipio2-9:d_ac",NA,0.294334899050668
"170","f_municipioMunicipio2-9:d_babykit",NA,-0.244329419921224
"171","f_municipioMunicipio2-9:d_bathtub",NA,-0.0656750807678573
"172","f_municipioMunicipio2-9:d_bidet",NA,0.91477280487741
"173","f_municipioMunicipio2-9:d_breakfast",NA,0.263479882003966
"174","f_municipioMunicipio2-9:d_cleaningavailableduringstay",NA,-0.0527510637534645
"175","f_municipioMunicipio2-9:d_elevator",NA,-0.81717474520523
"176","f_municipioMunicipio2-9:d_ethernetconnection",NA,0.32701763209106
"177","f_municipioMunicipio2-9:d_evcharger",NA,0.0709116762006602
"178","f_municipioMunicipio2-9:d_firepit",NA,-1.45166641508267
"179","f_municipioMunicipio2-9:d_games",NA,-0.358800867038513
"180","f_municipioMunicipio2-9:d_gym",NA,-7.15263057882531
"181","f_municipioMunicipio2-9:d_heating",NA,-2.73122742275523
"182","f_municipioMunicipio2-9:d_luggagedropoffallowed",NA,-0.109382713222462
"183","f_municipioMunicipio2-9:d_outdoorfurniture",NA,-0.00193706205282459
"184","f_municipioMunicipio2-9:d_petsallowed",NA,-1.44459804318037
"185","f_municipioMunicipio2-9:d_pool",NA,-1.82266513703211
"186","f_municipioMunicipio2-9:d_privateentrance",NA,-0.952579564957761
"187","f_municipioMunicipio2-9:d_smarttv",NA,0.163145143361881
"188","f_municipioMunicipio2-9:d_soundsystem",NA,0.75863155833117
"189","f_municipioMunicipio2-9:d_specialview",NA,0.281645463380607
"190","f_municipioMunicipio2-9:d_unreservedparking",NA,0.112229665053737
"191","f_municipioMunicipio2-9:d_washingmachine",NA,0.203925983473151
"192","f_municipioMunicipio2-9:d_wifi",NA,-2.70699617517028
"193","f_municipioMunicipio2-9:d_windowsamenities",NA,-0.37809854747847
"194","f_municipioMunicipio2:d_ac",NA,-0.972275034301204
"195","f_municipioMunicipio2:d_babykit",NA,-1.66895745634916
"196","f_municipioMunicipio2:d_bathtub",NA,-0.0256044371204233
"197","f_municipioMunicipio2:d_bikes",NA,-0.270845729762912
"198","f_municipioMunicipio2:d_breakfast",NA,-0.735395147437527
"199","f_municipioMunicipio2:d_cleaningavailableduringstay",NA,2.63464494573009
"200","f_municipioMunicipio2:d_evcharger",NA,0.575059540797354
"201","f_municipioMunicipio2:d_exerciseequipm",NA,1.67459322312614
"202","f_municipioMunicipio2:d_externallaundry",NA,-1.23150703313691
"203","f_municipioMunicipio2:d_firepit",NA,1.25102416266869
"204","f_municipioMunicipio2:d_fridge",NA,0.00110897861526134
